entity_id,designacao,siglas,sioe_code,nif,categoria_id,ministerio,tutela,website,morada,distrito,estado,criado_em,alterado_em,notas
cresap-comissao-de-recrutamento-e-selecao-para-a-ap,Comissão de Recrutamento e Seleção para a AP,CReSAP,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
cicdr-comissao-para-a-igualdade-e-contra-a-discriminacao-rac,Comissão para a Igualdade e Contra a Discriminação Racial,CICDR,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
caaj-comissao-para-o-acompanhamento-dos-auxiliares-da-justic,Comissão para o Acompanhamento dos Auxiliares da Justiça,CAAJ,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
ces-conselho-economico-e-social,Conselho Económico e Social,CES,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
cnpma-conselho-nacional-de-procriacao-medicamente-assistida,Conselho Nacional de Procriação Medicamente Assistida,CNPMA,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
cnecv-conselho-nacional-de-etica-para-as-ciencias-da-vida,Conselho Nacional de Ética para as Ciências da Vida,CNECV,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
csm-conselho-superior-da-magistratura,Conselho Superior da Magistratura,CSM,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
csmp-conselho-superior-do-ministerio-publico,Conselho Superior do Ministério Público,CSMP,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
cstaf-conselho-superior-dos-tribunais-administrativos-e-fisc,Conselho Superior dos Tribunais Administrativos e Fiscais,CSTAF,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
cfp-conselho-das-financas-publicas,Conselho das Finanças Públicas,CFP,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
efse-entidade-fiscalizadora-do-segredo-de-estado,Entidade Fiscalizadora do Segredo de Estado,EFSE,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
ers-entidade-reguladora-da-saude,Entidade Reguladora da Saúde,ERS,,,autoridades_reguladoras,Ministério da Saúde,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
erse-entidade-reguladora-dos-servicos-energeticos,Entidade Reguladora dos Serviços Energéticos,ERSE,,,autoridades_reguladoras,Ministério do Ambiente e Energia,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
ersar-entidade-reguladora-dos-servicos-de-aguas-e-residuos,Entidade Reguladora dos Serviços de Águas e Resíduos,ERSAR,,,autoridades_reguladoras,Ministério do Ambiente e Energia,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
erc-entidade-reguladora-para-a-comunicacao-social,Entidade Reguladora para a Comunicação Social,ERC,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
ecfp-entidade-das-contas-e-financiamentos-politicos,Entidade das Contas e Financiamentos Políticos,ECFP,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
gnr-guarda-nacional-republicana,Guarda Nacional Republicana,GNR,,,autoridades_reguladoras,Ministério da Administração Interna,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
hfar-hospital-das-forcas-armadas,Hospital das Forças Armadas,HFAR,,,autoridades_reguladoras,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
marinha,Marinha,,,,autoridades_reguladoras,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
en-marinha-escola-naval,Marinha - Escola Naval,EN,,,autoridades_reguladoras,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
menac-mecanismo-nacional-anticorrupcao,Mecanismo Nacional Anticorrupção,MENAC,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
observatorio-tecnico-independente-para-analise-acompanhament,"Observatório Técnico Independente para Análise, Acompanhamento e Avaliação dos Incêndios Florestais e Rurais",,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
psp-policia-de-seguranca-publica,Polícia de Segurança Pública,PSP,,,autoridades_reguladoras,Ministério da Administração Interna,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
pgr-procuradoria-geral-da-republica,Procuradoria-Geral da República,PGR,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
provedor-do-animal,Provedor do Animal,,,,autoridades_reguladoras,Ministério da Agricultura e Mar,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
provedoria-de-justica,Provedoria de Justiça,,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
